center_x,center_y,Thumb_status,Index_status,Middle_status,Ring_status,Pinky_status,DistanceThumbIndex,DistanceThumbMiddle,DistanceThumbRing,DistanceThumbPinky,DistanceIndexMiddle,DistanceIndexRing,DistanceIndexPinky,DistanceMiddleRing,DistanceMiddlePinky,DistanceRingPinky,Gesture_type
309,229,0,0,0,0,0,23.0217288664427,56.0892146495206,67.9117073853986,73.5459040327876,65.5133574166368,77.5241897732572,82.2982381342395,12.0830459735946,17.464249196573,6.08276253029822,volume
312,243,0,0,0,0,0,23,38.6393581727233,58.9406481131655,66.4906008395172,48.4148737476408,68.5054742338158,74.7930478052606,20.6155281280883,27.8926513619627,8.06225774829855,volume
312,254,0,0,0,0,0,19.0262975904405,52.4976189936268,61.0982814815605,65.7875368135941,61.8546683767685,71.0281634283191,75.1664818918645,9.21954445729289,13.4164078649987,5,volume
304,257,0,0,0,0,0,9.05538513813742,52.4976189936268,59.2368128784796,67.2309452558864,56.7978872846517,64.007812023221,72.069410986909,7.81024967590665,15.6204993518133,8.06225774829855,volume
304,245,0,0,0,0,0,13.6014705087354,53.851648071345,62.6498204307083,68.154236845555,56.6127194188726,65.8027355054484,70.7248188403477,9.21954445729289,14.3178210632764,6,volume
304,238,0,0,0,0,0,21.095023109729,53.851648071345,62.0322496770833,66.7308024828115,61.0327780786685,70.6045324324154,74.6324326281812,10,13.6014705087354,5,volume
290,224,0,0,0,0,0,33.3766385365573,53.1507290636733,63.3245607959503,70.6045324324154,64.3816744112795,75.0732975164938,81.6884324736373,10.816653826392,17.8885438199983,7.28010988928052,volume
273,205,0,1,0,0,0,41.9761837236307,58.6941223633168,70.6116137756389,75.953933407033,70.0071424927486,82.0731381147328,84.6463230152379,12.5299640861417,17.2626765016321,6.70820393249937,volume
264,192,0,1,0,0,0,47.2969343615419,59.6824932455071,72.3671196055225,80.2309167341368,73,84.8528137423857,90.6862723900371,13,20.6155281280883,8,volume
263,183,0,1,0,0,0,60.4069532421558,60.5309838016862,73.9797269527267,80.5046582503149,76.3216876123687,87.0057469366248,89.196412483911,13.6014705087354,20.0249843945008,7.61577310586391,volume
265,175,0,1,0,0,0,74.3303437365925,62.072538211354,75.3259583410659,83.2165848854662,81.8413098624405,91.8095855561934,95.603347221737,13.6014705087354,21.2132034355964,8.06225774829855,volume
266,172,0,1,0,0,0,82.6377637645163,61.0081961706786,75.1664818918645,84.0951841665146,83.9344982709732,93.5360892917808,97.3498844375277,14.560219778561,23.1948270094864,9.05538513813742,volume
266,169,0,1,0,0,0,85.7962703152066,61.0081961706786,76.1051903617618,84.0059521700695,84.504437753292,95.2942810456115,96.7987603226405,15.8113883008419,23.0867927612304,8.54400374531753,volume
266,171,0,1,0,0,0,83.2165848854662,63.0079360080935,77.0584193972339,84.0059521700695,84.1724420460759,94.1541289588513,96.2600644088711,14.560219778561,21.095023109729,7.28010988928052,volume
263,182,0,1,0,0,0,58.9406481131655,63.1268564083465,76.4198926981712,84.1486779456457,77.6208734813001,89.1403387922662,92.7631392310545,13.6014705087354,21.0237960416286,8.54400374531753,volume
270,196,0,1,0,0,0,41.4366987102013,59.304300012731,71.8470597867442,78.5175139698144,70.8378429936994,83.240615086627,87.6584280032445,13,19.2353840616713,7.28010988928052,volume
287,205,0,0,0,0,0,22.3606797749979,58.6941223633168,71.3091859440283,76.4852927038918,64.0702739185654,76.3216876123687,80.0624756049924,12.6491106406735,18.0277563773199,6.70820393249937,volume
304,224,0,0,0,0,0,13.0384048104053,56.0446250768082,64.1950153828161,67.7200118133481,61.7170964968379,70.2353187506115,73.348483283569,8.60232526704263,11.7046999107196,4.12310562561766,volume
336,243,0,0,0,0,0,6.32455532033676,47.169905660283,52.5547333738837,55.9732078766261,53.4883164812653,58.8727441181401,62.2976725086901,5.3851648071345,9.05538513813742,4.12310562561766,volume
365,236,0,0,0,0,0,10.816653826392,48.3838816136118,54.0832691319598,53.4509120595711,57.2712842531054,63.0713881248859,62.2414652783817,5.8309518948453,5.09901951359278,2,volume
370,237,0,0,0,0,0,13,48.0520551069359,53.1601354400081,54.4058820349418,56.4623768539724,62.1691241694782,63.5059052372297,6.40312423743285,7.81024967590665,1.4142135623731,volume
374,234,0,0,0,0,0,31.0161248385417,50.3587132480567,55.3172667437573,56.5154846037792,63.0079360080935,69.8140387028282,71.2179752590594,7.21110255092798,8.60232526704263,1.4142135623731,volume
372,233,0,1,0,0,0,43.4165866921848,46.5295604965274,51.1957029446808,50.9901951359279,72.1387551874857,77.7946013551069,77.1038261048049,5.65685424949238,5,1,volume
373,232,0,1,0,0,0,49.6487663492256,42.0475920832573,48.3735464897913,46.3896540189728,71.4212853426764,78.4920378127616,77.0778826901725,7.21110255092798,5.65685424949238,2,volume
375,227,0,1,0,0,0,61.2943716828878,39.0512483795333,49.0917508345343,46.0977222864644,74.2024258363566,84.3860177991591,82.4621125123532,11.180339887499,8.60232526704263,3,volume
